type,Kp,Kd,miss_distance,settling_time,time_to_intercept,energy,cpu_time,noise,max_acc,disturbance
Gain,1.0,1.0,6.984653010244589,,,143.63514125071066,0.003390073776245117,,,
Gain,2.0,1.0,4.875818155212439,,,122.73478044446091,0.0034050941467285156,,,
Gain,4.0,1.0,12.882695086915287,,,292.8741376486335,0.0036368370056152344,,,
Noise,,,4.875818155212439,,,122.73478044446091,0.003392934799194336,0.0,,
Noise,,,4.842291667602898,,,122.90140962475785,0.003401041030883789,0.1,,
Noise,,,4.869216932212641,,,124.34161516743498,0.0034170150756835938,0.3,,
Actuator,,,12.585656174316833,,13.0,150.9190675961864,0.0041959285736083984,,1.0,
Actuator,,,5.4555121830524405,,,153.73899073820132,0.004216194152832031,,2.0,
Actuator,,,5.257494292220611,,,169.83430170822135,0.004354000091552734,,3.0,
Disturbance,,,4.875818155212439,,,122.73478044446091,0.00341033935546875,,,False
Disturbance,,,4.862285354780194,,,123.05618382352178,0.0035409927368164062,,,True
